candidate_id,rules,details_json
CAND_0011162,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.83, ""total_years_exp"": 5.8, ""skill"": ""FAISS""}}"
CAND_0012957,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.58, ""total_years_exp"": 4.9, ""skill"": ""Machine Learning""}}"
CAND_0013613,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.67, ""total_years_exp"": 4.7, ""skill"": ""TensorFlow""}}"
CAND_0015578,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.83, ""total_years_exp"": 5.4, ""skill"": ""Embeddings""}}"
CAND_0018499,graduation_vs_exp|skill_years_impossible,"{""graduation_vs_exp"": {""latest_graduation_year"": 2021, ""max_possible_experience"": 6, ""claimed_years"": 7.2}, ""skill_years_impossible"": {""max_skill_years"": 7.83, ""total_years_exp"": 7.2, ""skill"": ""RAG""}}"
CAND_0018722,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.33, ""total_years_exp"": 6.6, ""skill"": ""Hugging Face Transformers""}}"
CAND_0019480,timeline_sum|skill_years_impossible,"{""timeline_sum"": {""total_years_from_roles"": 7.25, ""claimed_years"": 2.8, ""tolerance_years"": 2.0}, ""skill_years_impossible"": {""max_skill_years"": 6.83, ""total_years_exp"": 2.8, ""skill"": ""LLMs""}}"
CAND_0020350,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.25, ""total_years_exp"": 5.8, ""skill"": ""LLMs""}}"
CAND_0020708,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 6.67, ""total_years_exp"": 4.2, ""skill"": ""Fine-tuning LLMs""}}"
CAND_0020877,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 8.0, ""total_years_exp"": 5.1, ""skill"": ""scikit-learn""}}"
CAND_0022812,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.58, ""total_years_exp"": 4.5, ""skill"": ""Qdrant""}}"
CAND_0024466,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.67, ""total_years_exp"": 5.2, ""skill"": ""LoRA""}}"
CAND_0024620,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.5, ""total_years_exp"": 5.9, ""skill"": ""BM25""}}"
CAND_0026532,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 5.75, ""total_years_exp"": 4.8, ""skill"": ""Semantic Search""}}"
CAND_0027691,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.67, ""total_years_exp"": 6.5, ""skill"": ""Recommendation Systems""}}"
CAND_0029367,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.92, ""total_years_exp"": 5.7, ""skill"": ""Sentence Transformers""}}"
CAND_0030031,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.92, ""total_years_exp"": 5.7, ""skill"": ""LoRA""}}"
CAND_0030348,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 8.0, ""total_years_exp"": 4.5, ""skill"": ""LlamaIndex""}}"
CAND_0030468,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.92, ""total_years_exp"": 5.4, ""skill"": ""OpenSearch""}}"
CAND_0030827,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 8.0, ""total_years_exp"": 5.4, ""skill"": ""LangChain""}}"
CAND_0032515,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.75, ""total_years_exp"": 5.1, ""skill"": ""Semantic Search""}}"
CAND_0032807,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.67, ""total_years_exp"": 4.2, ""skill"": ""LangChain""}}"
CAND_0036184,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.83, ""total_years_exp"": 6.0, ""skill"": ""Sentence Transformers""}}"
CAND_0036437,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.75, ""total_years_exp"": 4.8, ""skill"": ""Sentence Transformers""}}"
CAND_0036863,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.5, ""total_years_exp"": 4.3, ""skill"": ""LoRA""}}"
CAND_0037000,timeline_sum|skill_years_impossible,"{""timeline_sum"": {""total_years_from_roles"": 6.25, ""claimed_years"": 2.7, ""tolerance_years"": 2.0}, ""skill_years_impossible"": {""max_skill_years"": 7.25, ""total_years_exp"": 2.7, ""skill"": ""LangChain""}}"
CAND_0037566,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.58, ""total_years_exp"": 6.9, ""skill"": ""LangChain""}}"
CAND_0037944,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 8.0, ""total_years_exp"": 4.9, ""skill"": ""Python""}}"
CAND_0039383,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.83, ""total_years_exp"": 7.1, ""skill"": ""pgvector""}}"
CAND_0039521,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.33, ""total_years_exp"": 3.0, ""skill"": ""Weaviate""}}"
CAND_0039838,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.75, ""total_years_exp"": 4.9, ""skill"": ""LoRA""}}"
CAND_0040117,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.92, ""total_years_exp"": 6.5, ""skill"": ""RAG""}}"
CAND_0040887,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.08, ""total_years_exp"": 4.7, ""skill"": ""LoRA""}}"
CAND_0041568,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 6.75, ""total_years_exp"": 5.2, ""skill"": ""Weaviate""}}"
CAND_0041610,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.83, ""total_years_exp"": 6.7, ""skill"": ""Elasticsearch""}}"
CAND_0041611,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.5, ""total_years_exp"": 6.4, ""skill"": ""LangChain""}}"
CAND_0042029,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 8.0, ""total_years_exp"": 6.5, ""skill"": ""OpenSearch""}}"
CAND_0042506,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.33, ""total_years_exp"": 4.2, ""skill"": ""Information Retrieval""}}"
CAND_0044855,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.58, ""total_years_exp"": 6.6, ""skill"": ""Information Retrieval""}}"
CAND_0044883,graduation_vs_exp|skill_years_impossible,"{""graduation_vs_exp"": {""latest_graduation_year"": 2022, ""max_possible_experience"": 5, ""claimed_years"": 6.3}, ""skill_years_impossible"": {""max_skill_years"": 7.17, ""total_years_exp"": 6.3, ""skill"": ""scikit-learn""}}"
CAND_0045250,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.25, ""total_years_exp"": 6.6, ""skill"": ""BM25""}}"
CAND_0047721,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.83, ""total_years_exp"": 7.0, ""skill"": ""Qdrant""}}"
CAND_0049538,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.67, ""total_years_exp"": 5.8, ""skill"": ""Elasticsearch""}}"
CAND_0050454,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.33, ""total_years_exp"": 6.8, ""skill"": ""scikit-learn""}}"
CAND_0050876,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.08, ""total_years_exp"": 6.0, ""skill"": ""scikit-learn""}}"
CAND_0051004,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.92, ""total_years_exp"": 4.7, ""skill"": ""Vector Search""}}"
CAND_0051292,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.17, ""total_years_exp"": 5.2, ""skill"": ""RAG""}}"
CAND_0051615,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.0, ""total_years_exp"": 4.6, ""skill"": ""RAG""}}"
CAND_0051630,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 8.0, ""total_years_exp"": 6.0, ""skill"": ""Information Retrieval""}}"
CAND_0052328,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.75, ""total_years_exp"": 6.5, ""skill"": ""scikit-learn""}}"
CAND_0052335,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 6.92, ""total_years_exp"": 6.4, ""skill"": ""PyTorch""}}"
CAND_0052682,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.42, ""total_years_exp"": 6.6, ""skill"": ""Semantic Search""}}"
CAND_0053695,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.5, ""total_years_exp"": 5.8, ""skill"": ""Pinecone""}}"
CAND_0054123,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 6.83, ""total_years_exp"": 4.7, ""skill"": ""LangChain""}}"
CAND_0054394,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.92, ""total_years_exp"": 4.1, ""skill"": ""Fine-tuning LLMs""}}"
CAND_0056881,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.67, ""total_years_exp"": 4.5, ""skill"": ""Information Retrieval""}}"
CAND_0057563,graduation_vs_exp|skill_years_impossible,"{""graduation_vs_exp"": {""latest_graduation_year"": 2022, ""max_possible_experience"": 5, ""claimed_years"": 6.8}, ""skill_years_impossible"": {""max_skill_years"": 7.83, ""total_years_exp"": 6.8, ""skill"": ""OpenSearch""}}"
CAND_0057701,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 6.42, ""total_years_exp"": 4.1, ""skill"": ""Learning to Rank""}}"
CAND_0058575,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 8.0, ""total_years_exp"": 5.8, ""skill"": ""Hugging Face Transformers""}}"
CAND_0058688,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.58, ""total_years_exp"": 6.7, ""skill"": ""LlamaIndex""}}"
CAND_0060054,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.25, ""total_years_exp"": 6.4, ""skill"": ""Recommendation Systems""}}"
CAND_0060072,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.25, ""total_years_exp"": 5.7, ""skill"": ""Prompt Engineering""}}"
CAND_0061339,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.92, ""total_years_exp"": 4.2, ""skill"": ""Information Retrieval""}}"
CAND_0061655,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.0, ""total_years_exp"": 4.6, ""skill"": ""PEFT""}}"
CAND_0064270,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 8.0, ""total_years_exp"": 4.2, ""skill"": ""Hugging Face Transformers""}}"
CAND_0064904,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.58, ""total_years_exp"": 4.9, ""skill"": ""TensorFlow""}}"
CAND_0065195,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.83, ""total_years_exp"": 5.1, ""skill"": ""Qdrant""}}"
CAND_0066376,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.75, ""total_years_exp"": 5.7, ""skill"": ""LlamaIndex""}}"
CAND_0066999,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.83, ""total_years_exp"": 5.9, ""skill"": ""LLMs""}}"
CAND_0068351,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.83, ""total_years_exp"": 6.4, ""skill"": ""PEFT""}}"
CAND_0074225,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.83, ""total_years_exp"": 4.3, ""skill"": ""Milvus""}}"
CAND_0074735,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 6.83, ""total_years_exp"": 5.5, ""skill"": ""Learning to Rank""}}"
CAND_0075249,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 6.92, ""total_years_exp"": 6.2, ""skill"": ""Fine-tuning LLMs""}}"
CAND_0075439,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.33, ""total_years_exp"": 4.3, ""skill"": ""Elasticsearch""}}"
CAND_0075574,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.83, ""total_years_exp"": 5.7, ""skill"": ""OpenSearch""}}"
CAND_0076831,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.58, ""total_years_exp"": 4.0, ""skill"": ""LLMs""}}"
CAND_0076904,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.0, ""total_years_exp"": 4.2, ""skill"": ""Hugging Face Transformers""}}"
CAND_0077285,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.25, ""total_years_exp"": 5.5, ""skill"": ""Fine-tuning LLMs""}}"
CAND_0078002,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.5, ""total_years_exp"": 6.3, ""skill"": ""QLoRA""}}"
CAND_0078042,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.58, ""total_years_exp"": 4.7, ""skill"": ""Sentence Transformers""}}"
CAND_0078492,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.67, ""total_years_exp"": 5.1, ""skill"": ""Hugging Face Transformers""}}"
CAND_0079064,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.92, ""total_years_exp"": 5.2, ""skill"": ""Fine-tuning LLMs""}}"
CAND_0079284,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.92, ""total_years_exp"": 4.9, ""skill"": ""Elasticsearch""}}"
CAND_0081053,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.0, ""total_years_exp"": 5.4, ""skill"": ""Semantic Search""}}"
CAND_0081686,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.75, ""total_years_exp"": 6.0, ""skill"": ""Milvus""}}"
CAND_0081846,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.92, ""total_years_exp"": 6.7, ""skill"": ""Embeddings""}}"
CAND_0084819,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.17, ""total_years_exp"": 4.5, ""skill"": ""LoRA""}}"
CAND_0086022,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.83, ""total_years_exp"": 5.3, ""skill"": ""PyTorch""}}"
CAND_0087364,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.58, ""total_years_exp"": 4.9, ""skill"": ""LlamaIndex""}}"
CAND_0089546,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 6.92, ""total_years_exp"": 4.8, ""skill"": ""PyTorch""}}"
CAND_0089552,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.33, ""total_years_exp"": 6.0, ""skill"": ""TensorFlow""}}"
CAND_0091909,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.83, ""total_years_exp"": 6.9, ""skill"": ""Hugging Face Transformers""}}"
CAND_0092245,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.92, ""total_years_exp"": 4.1, ""skill"": ""Elasticsearch""}}"
CAND_0093547,timeline_sum|skill_years_impossible,"{""timeline_sum"": {""total_years_from_roles"": 6.17, ""claimed_years"": 2.9, ""tolerance_years"": 2.0}, ""skill_years_impossible"": {""max_skill_years"": 7.83, ""total_years_exp"": 2.9, ""skill"": ""RAG""}}"
CAND_0093912,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 6.67, ""total_years_exp"": 5.3, ""skill"": ""Vector Search""}}"
CAND_0094056,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.17, ""total_years_exp"": 5.9, ""skill"": ""Hugging Face Transformers""}}"
CAND_0096142,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 6.0, ""total_years_exp"": 5.0, ""skill"": ""Python""}}"
CAND_0096172,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 6.58, ""total_years_exp"": 5.2, ""skill"": ""LangChain""}}"
CAND_0099806,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.83, ""total_years_exp"": 4.6, ""skill"": ""Prompt Engineering""}}"
